brand,name,release_year,launch_price,pixel_rate,texture_rate,fp16,fp32,fp64,memory_size,source_url
AMD,AMD FirePro RG220,2010,159,2.000 GPixel/s,4.000 GTexel/s,,80.00 GFLOPS,,512 MB,https://www.techpowerup.com/gpu-specs/firepro-rg220.c582
AMD,AMD FirePro RG220A,2010,139 ,2.000 GPixel/s,4.000 GTexel/s,,80.00 GFLOPS,,512 MB,https://www.techpowerup.com/gpu-specs/firepro-rg220a.c584
AMD,AMD FireStream 9350,2010,799,22.40 GPixel/s,50.40 GTexel/s,,2.016 TFLOPS,403.2 GFLOPS (1:5),2 GB,https://www.techpowerup.com/gpu-specs/firestream-9350.c1184
AMD,AMD FireStream 9370,2010,,26.40 GPixel/s,66.00 GTexel/s,,2.640 TFLOPS,528.0 GFLOPS (1:5),4 GB,https://www.techpowerup.com/gpu-specs/firestream-9370.c1185
AMD,AMD FirePro 2270,2011,,2.400 GPixel/s,4.800 GTexel/s,,96.00 GFLOPS,,512 MB,https://www.techpowerup.com/gpu-specs/firepro-2270.c1183
AMD,AMD FirePro 2270 PCIe x1,2011,149,2.400 GPixel/s,4.800 GTexel/s,,96.00 GFLOPS,,512 MB,https://www.techpowerup.com/gpu-specs/firepro-2270-pcie-x1.c3096
AMD,AMD FirePro V4900,2011,189,6.400 GPixel/s,19.20 GTexel/s,,768.0 GFLOPS,,1024 MB,https://www.techpowerup.com/gpu-specs/firepro-v4900.c578
AMD,AMD FirePro V5900,2011,599,19.20 GPixel/s,19.20 GTexel/s,,614.4 GFLOPS,153.6 GFLOPS (1:4),2 GB,https://www.techpowerup.com/gpu-specs/firepro-v5900.c577
AMD,AMD FirePro V7900,2011,999,23.20 GPixel/s,58.00 GTexel/s,,1.856 TFLOPS,464.0 GFLOPS (1:4),2 GB,https://www.techpowerup.com/gpu-specs/firepro-v7900.c580
AMD,AMD FirePro V7900 SDI,2011,,23.20 GPixel/s,58.00 GTexel/s,,1.856 TFLOPS,464.0 GFLOPS (1:4),2 GB,https://www.techpowerup.com/gpu-specs/firepro-v7900-sdi.c576
AMD,AMD FirePro A300,2012,,7.240 GPixel/s,21.72 GTexel/s,,695.0 GFLOPS,,System Shared,https://www.techpowerup.com/gpu-specs/firepro-a300.c1889
AMD,AMD FirePro A320,2012,,7.640 GPixel/s,22.92 GTexel/s,,733.4 GFLOPS,,System Shared,https://www.techpowerup.com/gpu-specs/firepro-a320.c1890
AMD,AMD FirePro S10000,2012,3599,30.40 GPixel/s,106.4 GTexel/s,,3.405 TFLOPS,851.2 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/firepro-s10000.c802
AMD,AMD FirePro S10000 Passive,2012,3599,30.40 GPixel/s,106.4 GTexel/s,,3.405 TFLOPS,851.2 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/firepro-s10000-passive.c2507
AMD,AMD FirePro S7000,2012,1249,30.40 GPixel/s,76.00 GTexel/s,,2.432 TFLOPS,152.0 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/firepro-s7000.c801
AMD,AMD FirePro S9000,2012,2499,28.80 GPixel/s,100.8 GTexel/s,,3.226 TFLOPS,806.4 GFLOPS (1:4),6 GB,https://www.techpowerup.com/gpu-specs/firepro-s9000.c1879
AMD,AMD FirePro S9010,2012,,25.60 GPixel/s,89.60 GTexel/s,,2.867 TFLOPS,716.8 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/firepro-s9010.c3237
AMD,AMD FirePro V3900,2012,,5.200 GPixel/s,15.60 GTexel/s,,624.0 GFLOPS,,1024 MB,https://www.techpowerup.com/gpu-specs/firepro-v3900.c579
AMD,AMD FirePro W4000,2012,,26.40 GPixel/s,39.60 GTexel/s,,"1,267.2 GFLOPS",79.20 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w4000.c1880
AMD,AMD FirePro W5000,2012,599,26.40 GPixel/s,39.60 GTexel/s,,"1,267.2 GFLOPS",79.20 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w5000.c588
AMD,AMD FirePro W600,2012,599,12.00 GPixel/s,24.00 GTexel/s,,768.0 GFLOPS,48.00 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w600.c562
AMD,AMD FirePro W7000,2012,899,30.40 GPixel/s,76.00 GTexel/s,,2.432 TFLOPS,152.0 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/firepro-w7000.c587
AMD,AMD FirePro W8000,2012,1599,28.80 GPixel/s,100.8 GTexel/s,,3.226 TFLOPS,806.4 GFLOPS (1:4),4 GB,https://www.techpowerup.com/gpu-specs/firepro-w8000.c586
AMD,AMD FirePro W9000,2012,3999,31.20 GPixel/s,124.8 GTexel/s,,3.994 TFLOPS,998.4 GFLOPS (1:4),6 GB,https://www.techpowerup.com/gpu-specs/firepro-w9000.c585
AMD,AMD FirePro W9000 X2,,3599,30.40 GPixel/s,106.4 GTexel/s,,3.405 TFLOPS,851.2 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/firepro-w9000-x2.c3956
AMD,AMD FirePro R5000,2013,1099,26.40 GPixel/s,39.60 GTexel/s,,"1,267.2 GFLOPS",79.20 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-r5000.c2037
AMD,AMD FirePro W5000 DVI,2013,599,26.40 GPixel/s,39.60 GTexel/s,,"1,267.2 GFLOPS",79.20 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-w5000-dvi.c2036
AMD,AMD Radeon Sky 500,2013,,30.40 GPixel/s,76.00 GTexel/s,,2.432 TFLOPS,152.0 GFLOPS (1:16),4 GB,https://www.techpowerup.com/gpu-specs/radeon-sky-500.c2276
AMD,AMD Radeon Sky 700,2013,,28.80 GPixel/s,100.8 GTexel/s,,3.226 TFLOPS,806.4 GFLOPS (1:4),6 GB,https://www.techpowerup.com/gpu-specs/radeon-sky-700.c2279
AMD,AMD Radeon Sky 900,2013,,30.40 GPixel/s,106.4 GTexel/s,,3.405 TFLOPS,851.2 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/radeon-sky-900.c2278
AMD,AMD FirePro D300,2014,,27.20 GPixel/s,68.00 GTexel/s,,2.176 TFLOPS,136.0 GFLOPS (1:16),2 GB,https://www.techpowerup.com/gpu-specs/firepro-d300.c2557
AMD,AMD FirePro D500,2014,,23.20 GPixel/s,69.60 GTexel/s,,2.227 TFLOPS,556.8 GFLOPS (1:4),3 GB,https://www.techpowerup.com/gpu-specs/firepro-d500.c2556
AMD,AMD FirePro D700,2014,,27.20 GPixel/s,108.8 GTexel/s,,3.482 TFLOPS,870.4 GFLOPS (1:4),6 GB,https://www.techpowerup.com/gpu-specs/firepro-d700.c2555
AMD,AMD FirePro S10000 Passive 12GB,2014,3599,30.40 GPixel/s,106.4 GTexel/s,,3.405 TFLOPS,851.2 GFLOPS (1:4),6 GB,https://www.techpowerup.com/gpu-specs/firepro-s10000-passive-12gb.c2522
AMD,AMD FirePro S9050,2014,,28.80 GPixel/s,100.8 GTexel/s,,3.226 TFLOPS,806.4 GFLOPS (1:4),12 GB,https://www.techpowerup.com/gpu-specs/firepro-s9050.c2607
AMD,AMD FirePro S9100,2014,3999,52.74 GPixel/s,131.8 GTexel/s,,4.219 TFLOPS,2.109 TFLOPS (1:2),12 GB,https://www.techpowerup.com/gpu-specs/firepro-s9100.c2636
